"","quality_grade","observed_on","captive","location"
"204","research","2020-10-13",FALSE,"40.3031722,-79.0079949"
"205","research","2020-10-12",FALSE,"40.3031722,-79.0079949"
"206","research","2020-10-11",FALSE,"40.3031722,-79.0079949"
"207","research","2020-10-10",FALSE,"40.3031722,-79.0079949"
"208","research","2020-10-09",FALSE,"40.3031722,-79.0079949"
"209","research","2020-10-07",FALSE,"40.3031722,-79.0079949"
"210","research","2020-10-07",FALSE,"40.3031722,-79.0079949"
"211","research","2020-10-06",FALSE,"40.3031722,-79.0079949"
"212","research","2020-10-05",FALSE,"40.3031722,-79.0079949"
"213","research","2020-10-04",FALSE,"40.3031722,-79.0079949"
"214","research","2020-10-03",FALSE,"40.3031722,-79.0079949"
"215","research","2020-10-26",FALSE,"34.4296222222,-119.0880916667"
"216","research","2020-10-25",FALSE,"38.9713197269,-77.0464858537"
"217","research","2020-10-25",FALSE,"34.2655086009,-118.8815764225"
"218","research","2020-10-24",FALSE,"38.9959725184,-77.1038353476"
"219","research","2020-10-24",FALSE,"38.9911546092,-77.19059969"
"220","research","2018-09-01",FALSE,"38.8025674171,-94.5386922732"
"221","research","2020-10-11",FALSE,"38.6685967852,-77.1880535669"
"222","research","2020-10-23",FALSE,"40.3099333333,-76.8979716667"
"223","research","2020-10-23",FALSE,"40.7262789285,-73.8344101303"
"224","research","2020-10-23",FALSE,"40.7161455649,-73.8391088152"
"225","research","2020-10-22",FALSE,"30.1574098455,-98.178688598"
"226","research","2019-05-27",FALSE,"34.1950555556,-80.1828472222"
"227","research","2020-10-21",FALSE,"38.7973658611,-77.4981665"
"228","research","2020-10-22",FALSE,"45.7936480083,-82.1586533648"
"229","research","2020-10-21",FALSE,"40.6236578022,-73.9736001095"
"230","research","2020-10-21",FALSE,"40.6063132141,-73.9461252531"
"231","research","2020-10-19",FALSE,"40.6685440341,-73.9123876234"
"232","research","2020-10-20",FALSE,"35.9309931842,-79.03901739"
"233","research","2020-04-04",FALSE,"29.75952167,-84.82661333"
"234","research","2020-10-15",FALSE,"37.8441689547,-122.2122749338"
"235","research","2020-10-17",FALSE,"43.248235428,-81.8224355578"
"236","research","2020-10-17",FALSE,"40.7510455555,-73.8633755276"
"237","research","2020-10-17",FALSE,"40.7319655358,-73.8672747495"
"238","research","2020-10-17",FALSE,"37.9206691138,-122.3150564511"
"239","research","2020-10-18",FALSE,"37.9065451725,-122.3030195666"
"240","research","2020-10-18",FALSE,"38.8700286482,-77.1482737517"
"241","research","2020-10-18",FALSE,"33.1146215648,-97.0171431732"
"242","research","2020-10-18",FALSE,"38.9533940059,-76.9432408735"
"243","research","2020-10-18",FALSE,"33.8809247046,-118.2538202533"
"244","research","2020-10-18",FALSE,"30.7240786469,-98.3852596599"
"245","research","2020-10-17",FALSE,"36.0991320975,-87.0608322921"
"246","research","2020-10-02",FALSE,"34.959972,-77.965983"
"247","research","2020-10-17",FALSE,"-27.9470061408,153.2477379276"
"248","research","2020-10-15",FALSE,"36.342955,-82.254775"
"249","research","2020-10-14",FALSE,"40.693252948,-73.9346627349"
"250","research","2020-10-14",FALSE,"33.9400237359,-118.2938168665"
"251","research","2020-08-27",FALSE,"32.6886739162,-117.0896448842"
"252","research","2020-09-22",FALSE,"32.73670833,-116.75582167"
"253","research","2020-10-13",FALSE,"40.1070174093,-75.2166924944"
"254","research","2020-09-14",FALSE,"26.2188815,-98.2698458"
"255","research","2020-10-12",FALSE,"44.8479022156,-92.6235383749"
"256","research","2020-10-12",FALSE,"43.6659001501,-73.5117844228"
"257","research","2020-09-26",FALSE,"39.9061092125,-82.9929469578"
"258","research","2020-10-12",FALSE,"31.6284533333,-94.6466666667"
"259","research","2020-10-11",FALSE,"31.6346410633,-98.2481421077"
"260","research","2020-10-11",FALSE,"44.7553173648,-78.0860459805"
"261","research","2020-10-11",FALSE,"40.7326919394,-73.9281167364"
"262","research","2020-10-11",FALSE,"40.6614274386,-73.9493449637"
"263","research","2020-10-11",FALSE,"39.1496916667,-77.0244833333"
"264","research","2020-10-11",FALSE,"33.8253669301,-85.7443189994"
"265","research","2020-10-11",FALSE,"44.6002561788,-79.2039588466"
"266","research","2020-10-09",FALSE,"35.5444431155,-97.5309785772"
"267","research","2020-10-09",FALSE,"39.010890574,-74.9448013678"
"268","research","2020-10-09",FALSE,"39.8805344444,-86.1162691667"
"269","research","2020-10-09",FALSE,"30.5532474909,-97.8581063077"
"270","research","2020-10-09",FALSE,"35.6067780784,-82.5685382031"
"271","research","2020-10-02",FALSE,"38.920855,-77.04518883"
"272","research","2020-10-08",FALSE,"41.2518386667,-95.9888274444"
"273","research","2020-10-06",FALSE,"39.41809167,-76.61773667"
"274","research","2020-08-23",FALSE,"24.715505,-81.08579167"
"275","research","2020-10-03",FALSE,"39.6753474619,-76.4521433236"
"276","research","2020-10-03",FALSE,"39.6753474619,-76.4521433236"
"277","research","2020-10-03",FALSE,"39.6753474619,-76.4521433236"
"278","research","2020-10-08",FALSE,"35.31165333,-83.18281667"
"279","research","2020-10-01",FALSE,"38.964327285,-77.0228852302"
"280","research","2020-09-30",FALSE,"38.9296337793,-77.0964099886"
"281","research","2020-09-29",FALSE,"38.972514543,-77.1882209826"
"282","research","2020-10-03",FALSE,"37.7327375952,-77.6373829638"
"283","research","2020-10-07",FALSE,"36.3170148665,-82.3244931176"
"284","research","2018-09-10",FALSE,"38.3132656389,-84.5422596667"
"285","research","2020-10-07",FALSE,"31.9563610331,-81.0247198613"
"286","research","2020-10-07",FALSE,"35.0435415415,-85.1403075292"
"287","research","2020-09-12",FALSE,"38.7477083333,-90.5211222222"
"288","research","2020-10-06",FALSE,"35.2478716667,-97.42105"
"289","research","2020-10-06",FALSE,"41.9304668842,-74.0582300434"
"290","research","2020-10-06",FALSE,"39.251575,-74.617745"
"291","research","2020-10-05",FALSE,"44.9709361111,-93.1283805556"
"292","research","2020-10-05",FALSE,"40.6554754599,-73.994913283"
"293","research","2020-09-25",FALSE,"38.5531443082,-92.1121931698"
"294","research","2020-04-20",FALSE,"27.958087781,-82.2696911508"
"295","research","2020-04-11",FALSE,"27.9582015011,-82.2697018797"
"296","research","2020-10-05",FALSE,"31.6286111111,-94.6469444444"
"297","research","2020-10-05",FALSE,"34.3274671234,-78.0685287006"
"298","research","2020-10-03",FALSE,"20.0384436635,-100.7153638323"
"299","research","2020-10-03",FALSE,"36.4470176612,-82.3052747037"
"300","research","2020-10-04",FALSE,"34.363574905,-86.2949216725"
"301","research","2020-10-04",FALSE,"33.9082935736,-118.285816637"
"302","research","2020-10-04",FALSE,"39.9427010598,-75.1564062139"
"303","research","2020-10-03",FALSE,"43.200690437,-80.0996663417"
"304","research","2020-10-03",FALSE,"31.9562586255,-81.0246729227"
"305","research","2020-09-27",FALSE,"43.0459361111,-75.4104222222"
"306","research","2020-10-01",FALSE,"40.2211828061,-80.1771917606"
"307","research","2020-10-02",FALSE,"37.9206691138,-122.3150564511"
"308","research","2020-10-03",FALSE,"40.6561708362,-73.9945979269"
"309","research","2020-09-30",FALSE,"40.7013187216,-73.8559519127"
"310","research","2020-10-03",FALSE,"40.8702744949,-73.5056056324"
"311","research","2020-07-15",FALSE,"8.5657337196,-67.5710678101"
"312","research","2020-10-02",FALSE,"29.8180824884,-98.5418648597"
"313","research","2020-10-02",FALSE,"26.5931191025,-80.120926104"
"314","research","2020-10-02",FALSE,"36.9655394232,-121.9800429181"
"315","research","2018-11-19",FALSE,"40.9653583333,-73.8879083333"
"316","research","2020-10-02",FALSE,"39.0517784807,-94.447901297"
"317","research","2020-10-02",FALSE,"37.5539972222,-84.2407916667"
"318","research","2020-10-01",FALSE,"40.8060869283,-77.8685010597"
"319","research","2020-10-01",FALSE,"35.26371333,-120.63877833"
"320","research","2020-09-23",FALSE,"43.0458944444,-75.4103861111"
"321","research","2020-10-01",FALSE,"43.6359711119,-74.0128169669"
"322","research","2020-09-23",FALSE,"41.9328867422,-74.1544324551"
"323","research","2015-08-21",FALSE,"40.7136114778,-78.0121937022"
"324","research","2020-10-01",FALSE,"39.1312732476,-75.5388232358"
"325","research","2020-10-01",FALSE,"39.1573971667,-84.3178866667"
"326","research","2010-09-15",FALSE,"36.4623793,-82.5696175"
"327","research","2020-09-29",FALSE,"39.3155141285,-77.6312731806"
"328","research","2020-09-15",FALSE,"38.6131133333,-90.2605833333"
"329","research","2020-09-28",FALSE,"37.7733616667,-122.2565783333"
"330","research","2020-09-30",FALSE,"32.9175004351,-97.206881008"
"331","research","2020-09-30",FALSE,"42.97145,-81.32788"
"332","research","2020-09-30",FALSE,"40.3031722,-79.0079949"
"333","research","2020-09-27",FALSE,"37.2100374485,-80.4087799788"
"334","research","2020-09-27",FALSE,"39.5173309724,-84.73232613"
"335","research","2020-09-29",FALSE,"39.1809277778,-86.5374472222"
"336","research","2020-09-15",FALSE,"39.5634888889,-75.7200666667"
"337","research","2020-09-27",FALSE,"36.8688065095,-80.5116714233"
"338","research","2020-09-25",FALSE,"40.66765333,-77.90991167"
"339","research","2020-08-06",FALSE,"35.12664167,-120.6118"
"340","research","2020-09-12",FALSE,"39.84257167,-77.54103"
"341","research","2020-09-05",FALSE,"35.261715,-91.804899"
"342","research","2020-09-27",FALSE,"44.27750333,-80.14663617"
"343","research","2020-09-27",FALSE,"38.786563013,-77.6144111589"
"344","research","2020-09-27",FALSE,"41.9872222222,-70.7363888889"
"345","research","2020-09-27",FALSE,"33.850105,-84.29875833"
"346","research","2020-09-27",FALSE,"38.430506312,-77.6222983291"
"347","research","2020-09-27",FALSE,"40.1438361111,-88.2710027778"
"348","research","2020-09-25",FALSE,"38.908046306,-77.0321076906"
"349","research","2020-09-26",FALSE,"37.77340833,-122.25647833"
"350","research","2020-09-26",FALSE,"38.544206665,-84.2570998147"
"351","research","2020-09-25",FALSE,"40.6231707929,-73.6243464058"
"352","research","2020-09-26",FALSE,"39.07794,-76.6592216667"
"353","research","2020-09-26",FALSE,"36.3170148665,-82.3244931176"
"354","research","2020-09-26",FALSE,"36.3170148665,-82.3244931176"
"355","research","2020-09-26",FALSE,"38.43065,-83.161025"
"356","research","2020-09-26",FALSE,"39.24273,-76.594575"
"357","research","2020-09-26",FALSE,"37.9358978297,-78.644736028"
"358","research","2020-09-26",FALSE,"33.8629575102,-118.468109224"
"359","research","2020-09-26",FALSE,"40.56335833,-82.806345"
"360","research","2020-09-26",FALSE,"37.646675,-84.68730333"
"361","research","2020-09-26",FALSE,"44.379395,-78.0928945"
"362","research","2020-09-25",FALSE,"44.6847420024,-93.2698912281"
"363","research","2020-09-21",FALSE,"41.1081084,-75.4548992"
"364","research","2020-09-25",FALSE,"37.79496667,-122.23767833"
"365","research","2020-09-25",FALSE,"40.373507,-79.38902486"
"366","research","2020-09-04",FALSE,"43.35543833,-73.13219717"
"367","research","2020-09-24",FALSE,"40.6577079129,-73.9884246124"
"368","research","2020-09-24",FALSE,"35.194485332,-120.7874927512"
"369","research","2020-09-24",FALSE,"38.879055,-77.0919195"
"370","research","2020-09-24",FALSE,"40.5089258327,-73.9525388828"
"371","research","2020-09-21",FALSE,"46.0109898,-59.9556719"
"372","research","2020-09-19",FALSE,"40.0933681089,-77.2667514905"
"373","research","2020-09-23",FALSE,"38.5388870239,-81.9337539673"
"374","research","2020-09-23",FALSE,"39.8095789722,-75.6817329722"
"375","research","2020-09-20",FALSE,"38.38108333,-79.01126945"
"376","research","2020-09-21",FALSE,"37.2668833333,-77.5838777778"
"377","research","2020-09-23",FALSE,"40.7011931569,-73.8557752222"
"378","research","2020-09-23",FALSE,"39.2563876463,-74.6106376872"
"379","research","2020-09-22",FALSE,"35.1322759139,-80.7705700778"
"380","research","2020-09-23",FALSE,"38.75335691,-77.46996"
"381","research","2020-09-23",FALSE,"35.61143,-82.44097167"
"382","research","2020-09-23",FALSE,"35.1755499267,-78.8072553514"
"383","research","2020-09-23",FALSE,"29.6792724198,-82.4981394643"
"384","research","2020-09-23",FALSE,"38.8052097,-77.3065504"
"385","research","2020-09-21",FALSE,"35.0742991009,-120.6296563216"
"386","research","2020-09-13",FALSE,"44.153524,-77.7983061"
"387","research","2020-09-22",FALSE,"43.0013051396,-73.1952879578"
"388","research","2020-09-22",FALSE,"43.0463888889,-82.1855555556"
"389","research","2020-09-13",FALSE,"43.0463085,-82.1849885833"
"390","research","2020-09-22",FALSE,"40.97946667,-72.14611117"
"391","research","2020-09-22",FALSE,"40.39676667,-77.10696383"
"392","research","2020-09-22",FALSE,"34.80436667,-84.43881167"
"393","research","2020-09-21",FALSE,"32.6113726,-116.9938641"
"394","research","2019-07-16",FALSE,"29.7938144,-82.4944226"
"395","research","2020-09-10",FALSE,"43.8778656074,-69.5222978685"
"396","research","2020-09-18",FALSE,"35.6114581,-82.44102529"
"397","research","2020-09-20",FALSE,"41.51658667,-76.70504667"
"398","research","2020-09-05",FALSE,"39.071055855,-76.77636655"
"399","research","2020-08-09",FALSE,"33.8519288756,-118.3598547155"
"400","research","2020-09-20",FALSE,"39.444695,-76.78866667"
"401","research","2020-09-20",FALSE,"38.4409033182,-77.1339191963"
"402","research","2020-09-20",FALSE,"36.0097633163,-78.8922127337"
"403","research","2020-09-20",FALSE,"44.46470333,-72.7256"
"404","research","2020-09-06",FALSE,"39.665131,-78.4430865"
"405","research","2020-09-18",FALSE,"41.78832,-87.579155"
"406","research","2020-09-18",FALSE,"32.8329194444,-117.2749861111"
"407","research","2020-09-18",FALSE,"32.7756052864,-117.1923335043"
"408","research","2020-09-11",FALSE,"36.2724245675,-81.4446380152"
"409","research","2020-09-17",FALSE,"39.38047,-82.14081667"
"410","research","2020-09-19",FALSE,"36.2612674339,-95.7002936305"
"411","research","2020-09-18",FALSE,"35.6304206848,-78.7061157227"
"412","research","2020-09-17",FALSE,"33.85058833,-84.29898833"
"413","research","2020-09-03",FALSE,"40.5728403752,-81.0856531933"
"414","research","2020-09-18",FALSE,"40.9032942541,-74.1244687761"
"415","research","2020-09-18",FALSE,"40.879495,-74.23871"
"416","research","2020-09-16",FALSE,"40.43833,-74.18603667"
"417","research","2020-09-10",FALSE,"39.884167851,-75.782397768"
"418","research","2020-09-16",FALSE,"40.7471536423,-73.4466797232"
"419","research","2020-09-16",FALSE,"40.7471536423,-73.4466797232"
"420","research","2020-09-16",FALSE,"40.7471536423,-73.4466797232"
