Index,IM,Source,Site,Exclosure,Species,Plant,Position,Aspect,Elevation_(m),Diameter1_(mm),Diameter2_(mm),Stem_area_cm2,1st_year?,Leaf_ID,Leaf_Length,Leaf_Area_petiole,Leaf_Area_no.petiole,Internal_area_correction,True_area,Leaf_Area_corrected,Leaf_Area_corrected_final,Area_no_spines
21,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Upper,SSW,380,149,0,17.44,0,7,1.158,0.541,0.541,0,0.541,0.541,0.541,0.541
22,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Upper,SSW,380,149,0,17.44,0,8,1.473,1.22,1.193,0,1.193,1.193,1.193,1.193
23,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Upper,SSW,380,149,0,17.44,0,9,1.227,0.683,0.666,0,0.666,0.666,0.666,0.666
24,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Upper,SSW,380,149,0,17.44,0,10,1.46,0.953,0.953,0,0.953,0.953,0.953,0.953
25,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Upper,SSW,380,149,0,17.44,0,11,1.709,1.102,1.082,0,1.082,1.082,1.082,1.082
26,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Upper,SSW,380,149,0,17.44,0,12,NA,0.649,0.631,0,0.631,0.82,0.82,0.82
27,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Upper,SSW,380,149,0,17.44,0,13,1.89,1.339,1.313,0,1.313,1.313,1.313,1.313
28,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,1,Upper,SSW,380,149,0,17.44,0,14,1.74,1.299,1.273,0,1.273,1.273,1.273,1.273
29,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,2,Lower,S,378,62,0,3.02,0,1,1.013,0.429,0.401,0,0.401,0.427,0.427,0.427
30,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,2,Lower,S,378,62,0,3.02,1,2,1.418,1.161,1.122,0,1.122,1.122,1.122,1.122
31,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,2,Lower,S,378,62,0,3.02,0,3,1.671,1.235,1.191,0,1.191,1.191,1.191,1.191
32,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,2,Lower,S,378,62,0,3.02,0,4,1.141,0.536,0.447,0,0.447,0.447,0.447,0.447
33,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,2,Lower,S,378,62,0,3.02,0,5,1.575,1.108,1.063,0,1.063,1.101,1.101,1.101
34,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,2,Lower,S,378,62,0,3.02,0,6,1.738,1.051,1.013,0,1.013,1.063,1.063,1.063
35,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,2,Lower,S,378,62,0,3.02,0,7,1.237,0.791,0.753,0,0.753,0.753,0.753,0.753
36,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,2,Lower,S,378,62,0,3.02,0,8,1.728,1.244,1.202,0,1.202,1.202,1.202,1.202
37,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,2,Lower,S,378,62,0,3.02,0,9,1.726,1.122,1.083,0,1.083,1.083,1.083,1.083
38,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,2,Lower,S,378,62,0,3.02,0,10,1.508,1.214,1.181,0,1.181,1.181,1.181,1.181
39,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,2,Upper,S,378,62,0,3.02,0,1,1.678,1.125,1.059,0.032,1.027,1.065,1.033,1.065
40,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,2,Upper,S,378,62,0,3.02,0,2,1.612,1.067,1.025,0.065,0.96,1.025,0.96,1.025
41,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,2,Upper,S,378,62,0,3.02,0,3,1.697,1.029,0.975,0.015,0.96,0.99,0.975,0.99
42,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,2,Upper,S,378,62,0,3.02,0,4,1.646,0.831,0.771,0,0.771,0.949,0.949,0.949
43,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,2,Upper,S,378,62,0,3.02,0,5,1.814,1.146,1.087,0,1.087,1.115,1.115,1.115
44,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,2,Upper,S,378,62,0,3.02,0,6,1.311,0.868,0.838,0.006,0.832,0.838,0.832,0.838
45,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,2,Upper,S,378,62,0,3.02,0,7,1.391,0.887,0.856,0,0.856,0.856,0.856,0.856
46,Mainland,Stunt_Ranch,Stunt_Ranch,No,Ceanothus_megacarpus,2,Upper,S,378,62,0,3.02,0,8,1.267,0.796,0.762,0.024,0.738,0.762,0.738,0.762
47,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,3,Lower,SSE,319,NA,0,NA,0,1,2.257,2.863,2.826,0,2.826,2.826,2.826,2.826
48,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,3,Lower,SSE,319,NA,0,NA,0,2,2.042,2.701,2.651,0,2.651,2.651,2.651,2.651
49,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,3,Lower,SSE,319,NA,0,NA,0,3,2.381,3.037,2.975,0,2.975,2.975,2.975,2.975
50,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,3,Lower,SSE,319,NA,0,NA,0,4,2.317,2.918,2.909,0,2.909,2.909,2.909,2.909
51,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,3,Lower,SSE,319,NA,0,NA,0,5,2.551,3.25,3.162,0,3.162,3.164,3.164,3.164
52,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,3,Lower,SSE,319,NA,0,NA,0,6,2.106,2.305,2.245,0,2.245,2.267,2.267,2.267
53,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,4,Lower,S,317,12,12,0.23,0,1,1.262,0.887,0.84,0,0.84,0.84,0.84,0.84
54,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,4,Lower,S,317,12,12,0.23,0,2,1.927,1.997,1.952,0,1.952,1.952,1.952,1.952
55,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,4,Lower,S,317,12,12,0.23,0,3,1.758,1.539,1.429,0,1.429,1.431,1.431,1.431
56,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,4,Lower,S,317,12,12,0.23,0,4,1.911,1.745,1.698,0,1.698,1.698,1.698,1.698
57,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,4,Lower,S,317,12,12,0.23,1,5,1.394,0.92,0.877,0,0.877,0.877,0.877,0.877
58,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,4,Lower,S,317,12,12,0.23,0,6,2.45,2.507,2.448,0.03,2.418,2.495,2.465,2.495
59,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,4,Lower,S,317,12,12,0.23,0,7,2.064,1.908,1.838,0,1.838,1.956,1.956,1.956
60,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,4,Lower,S,317,12,12,0.23,0,8,1.996,2.148,2.094,0,2.094,2.094,2.094,2.094
61,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,4,Lower,S,317,12,12,0.23,0,9,2.739,2.953,2.89,0,2.89,2.93,2.93,2.93
62,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,4,Lower,S,317,12,12,0.23,0,10,2,1.785,1.719,0,1.719,1.864,1.864,1.864
63,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,4,Lower,S,317,12,12,0.23,0,11,1.791,1.713,1.661,0,1.661,1.705,1.705,1.705
64,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,5,Lower,S,312,NA,NA,NA,0,1,1.818,1.696,1.633,0,1.633,1.668,1.668,1.668
65,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,5,Lower,S,312,NA,NA,NA,0,2,1.6,1.319,1.284,0,1.284,1.284,1.284,1.284
66,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,5,Lower,S,312,NA,NA,NA,0,3,1.952,1.798,1.739,0,1.739,1.749,1.749,1.749
67,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,5,Lower,S,312,NA,NA,NA,0,4,NA,1.943,1.901,0,1.901,2.169,2.169,2.169
68,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,5,Lower,S,312,NA,NA,NA,0,5,2.096,2.202,2.151,0,2.151,2.151,2.151,2.151
69,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,5,Lower,S,312,NA,NA,NA,0,6,1.736,1.4,1.344,0,1.344,1.344,1.344,1.344
70,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,5,Lower,S,312,NA,NA,NA,0,7,1.805,1.703,1.644,0,1.644,1.644,1.644,1.644
71,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,5,Lower,S,312,NA,NA,NA,0,8,1.935,1.678,1.598,0,1.598,1.801,1.801,1.801
72,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,5,Lower,S,312,NA,NA,NA,0,9,1.952,1.809,1.772,0,1.772,2.114,2.114,2.114
73,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,5,Lower,S,312,NA,NA,NA,0,10,1.738,1.636,1.59,0,1.59,1.911,1.911,1.911
74,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,6,Lower,SE,300,NA,NA,NA,0,1,1.918,2.108,2.042,0,2.042,2.042,2.042,2.042
75,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,6,Lower,SE,300,NA,NA,NA,0,2,2.452,2.863,2.799,0,2.799,2.799,2.799,2.799
76,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,6,Lower,SE,300,NA,NA,NA,0,3,1.938,2.11,2.045,0,2.045,2.045,2.045,2.045
77,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,6,Lower,SE,300,NA,NA,NA,0,4,2.256,2.741,2.681,0,2.681,2.681,2.681,2.681
78,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,6,Lower,SE,300,NA,NA,NA,0,5,2.464,3.415,3.363,0,3.363,3.363,3.363,3.363
79,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,6,Lower,SE,300,NA,NA,NA,0,6,2.156,2.386,2.332,0,2.332,2.332,2.332,2.332
80,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,6,Lower,SE,300,NA,NA,NA,0,7,2.431,2.621,2.562,0,2.562,2.757,2.757,2.757
81,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,6,Lower,SE,300,NA,NA,NA,0,8,2.498,3.31,3.256,0,3.256,3.256,3.256,3.256
82,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,7,Lower,E,303,21,19,0.63,0,1,1.226,1.239,1.2,0,1.2,1.424,1.424,1.424
83,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,7,Lower,E,303,21,19,0.63,0,2,2.391,4.064,4.002,0,4.002,4.057,4.057,4.057
84,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,7,Lower,E,303,21,19,0.63,0,3,2.333,3.887,3.745,0,3.745,3.859,3.859,3.859
85,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,7,Lower,E,303,21,19,0.63,1,4,1.394,1.214,1.175,0,1.175,1.175,1.175,1.175
86,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,7,Lower,E,303,21,19,0.63,1,5,1.485,1.35,1.304,0,1.304,1.304,1.304,1.304
87,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,7,Lower,E,303,21,19,0.63,0,6,2.721,4.074,3.978,0,3.978,4.565,4.565,4.565
88,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,7,Lower,E,303,21,19,0.63,0,7,2.767,4.681,4.591,0,4.591,4.784,4.784,4.784
89,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,7,Lower,E,303,21,19,0.63,0,8,1.955,1.785,1.69,0,1.69,1.708,1.708,1.708
90,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,7,Lower,E,303,21,19,0.63,0,9,2.216,2.996,2.92,0,2.92,2.92,2.92,2.92
91,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,7,Lower,E,303,21,19,0.63,0,10,2.373,2.794,2.68,0,2.68,2.997,2.997,2.997
92,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,8,Lower,NNE,295,NA,NA,NA,0,1,2.034,1.976,1.893,0,1.893,1.893,1.893,1.893
93,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,8,Lower,NNE,295,NA,NA,NA,1,2,1.687,1.242,1.2,0,1.2,1.2,1.2,1.2
94,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,8,Lower,NNE,295,NA,NA,NA,0,3,2.134,2.251,2.198,0,2.198,2.245,2.245,2.245
95,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,8,Lower,NNE,295,NA,NA,NA,0,4,1.964,1.961,1.918,0,1.918,1.945,1.945,1.945
96,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,8,Lower,NNE,295,NA,NA,NA,0,5,2.241,2.506,2.426,0,2.426,2.426,2.426,2.426
97,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,8,Lower,NNE,295,NA,NA,NA,0,6,1.792,1.481,1.359,0,1.359,1.643,1.643,1.643
98,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,8,Lower,NNE,295,NA,NA,NA,1,7,1.666,1.253,1.211,0,1.211,1.211,1.211,1.211
99,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,8,Lower,NNE,295,NA,NA,NA,0,8,2.278,2.532,2.477,0,2.477,2.477,2.477,2.477
100,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,9,Lower,SSE,266,NA,NA,NA,0,1,1.64,1.48,1.44,0,1.44,1.44,1.44,1.44
101,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,9,Lower,SSE,266,NA,NA,NA,0,2,1.407,1.145,1.1,0,1.1,1.134,1.134,1.134
102,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,9,Lower,SSE,266,NA,NA,NA,0,3,2.019,2.006,1.951,0,1.951,1.951,1.951,1.951
103,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,9,Lower,SSE,266,NA,NA,NA,0,4,1.228,1.182,1.145,0,1.145,1.245,1.245,1.245
104,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,9,Lower,SSE,266,NA,NA,NA,0,5,1.334,1.238,1.178,0,1.178,1.214,1.214,1.214
105,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,9,Lower,SSE,266,NA,NA,NA,0,6,1.494,1.374,1.317,0,1.317,1.317,1.317,1.317
106,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,9,Lower,SSE,266,NA,NA,NA,0,7,2.018,1.676,1.621,0,1.621,2.136,2.136,2.136
107,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,9,Lower,SSE,266,NA,NA,NA,0,8,1.741,1.583,1.544,0,1.544,1.544,1.544,1.544
108,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,9,Lower,SSE,266,NA,NA,NA,0,9,1.633,1.719,1.665,0,1.665,1.731,1.731,1.731
109,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,9,Lower,SSE,266,NA,NA,NA,0,10,NA,1.235,1.171,0,1.171,1.474,1.474,1.474
110,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,10,Lower,NE,258,22,0,0.38,0,1,1.868,1.606,1.55,0,1.55,1.55,1.55,1.55
111,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,10,Lower,NE,258,22,0,0.38,0,2,1.943,2.12,2.052,0,2.052,2.178,2.178,2.178
112,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,10,Lower,NE,258,22,0,0.38,0,3,1.693,1.422,1.363,0,1.363,1.363,1.363,1.363
113,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,10,Lower,NE,258,22,0,0.38,0,4,1.521,1.222,1.164,0,1.164,1.289,1.289,1.289
114,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,10,Lower,NE,258,22,0,0.38,0,5,1.263,1.098,1.04,0.008,1.032,1.064,1.056,1.064
115,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,10,Lower,NE,258,22,0,0.38,0,6,2.019,1.949,1.877,0,1.877,1.936,1.936,1.936
116,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,11,Lower,ESE,167,36,0,1.02,0,1,2.811,3.708,3.648,0,3.648,3.648,3.648,3.648
117,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,11,Lower,ESE,167,36,0,1.02,0,2,2.566,3.419,3.36,0,3.36,3.36,3.36,3.36
118,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,11,Lower,ESE,167,36,0,1.02,0,3,2.373,3.133,3.049,0,3.049,3.235,3.235,3.235
119,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,11,Lower,ESE,167,36,0,1.02,1,4,1.52,1.24,1.216,0,1.216,1.216,1.216,1.216
120,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,11,Lower,ESE,167,36,0,1.02,0,5,2.549,3.415,3.301,0,3.301,3.332,3.332,3.332
121,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,11,Lower,ESE,167,36,0,1.02,0,6,NA,1.497,1.412,0,1.412,2.235,2.235,2.235
122,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,11,Lower,ESE,167,36,0,1.02,0,7,2.473,3.085,3.024,0,3.024,3.024,3.024,3.024
123,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,11,Lower,ESE,167,36,0,1.02,0,8,2.365,3.052,2.986,0,2.986,2.988,2.988,2.988
124,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,11,Lower,ESE,167,36,0,1.02,0,9,2.516,3.673,3.584,0,3.584,3.584,3.584,3.584
125,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,11,Lower,ESE,167,36,0,1.02,0,10,2.585,3.553,3.472,0,3.472,3.473,3.473,3.473
126,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,11,Lower,ESE,167,36,0,1.02,0,11,2.659,3.656,3.58,0,3.58,3.586,3.586,3.586
127,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,12,Lower,E,163,NA,NA,NA,0,1,1.702,1.517,1.454,0,1.454,1.492,1.492,1.492
128,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,12,Lower,E,163,NA,NA,NA,0,2,1.622,1.36,1.329,0,1.329,1.329,1.329,1.353
129,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,12,Lower,E,163,NA,NA,NA,0,3,NA,0.64,0.608,0,0.608,0.791,0.791,0.791
130,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,12,Lower,E,163,NA,NA,NA,0,4,2.509,2.802,2.747,0,2.747,2.763,2.763,2.763
131,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,12,Lower,E,163,NA,NA,NA,0,5,2.447,2.734,2.669,0,2.669,2.669,2.669,2.669
132,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,12,Lower,E,163,NA,NA,NA,0,6,1.011,0.531,0.498,0,0.498,0.583,0.583,0.583
133,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,12,Lower,E,163,NA,NA,NA,0,7,1.715,1.083,1.041,0,1.041,1.041,1.041,1.041
134,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,12,Lower,E,163,NA,NA,NA,0,8,2.407,2.758,2.701,0,2.701,2.701,2.701,2.701
135,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,12,Lower,E,163,NA,NA,NA,0,9,2.298,2.213,2.149,0,2.149,2.149,2.149,2.149
136,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,12,Lower,E,163,NA,NA,NA,0,10,2.07,1.904,1.836,0,1.836,1.836,1.836,1.836
137,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,13,Lower,NE,153,NA,NA,NA,0,1,1.748,0.877,0.795,0,0.795,1.371,1.371,1.371
138,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,13,Lower,NE,153,NA,NA,NA,0,2,2.022,1.676,1.618,0,1.618,1.634,1.634,1.634
139,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,13,Lower,NE,153,NA,NA,NA,0,3,2.264,2.015,1.974,0,1.974,1.974,1.974,1.974
140,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,13,Lower,NE,153,NA,NA,NA,0,4,1.828,1.452,1.406,0,1.406,1.541,1.541,1.541
141,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,13,Lower,NE,153,NA,NA,NA,0,5,2.099,1.716,1.681,0,1.681,1.729,1.729,1.729
142,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,13,Lower,NE,153,NA,NA,NA,0,6,1.994,1.704,1.667,0,1.667,1.667,1.667,1.667
143,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,13,Lower,NE,153,NA,NA,NA,0,7,2.113,1.834,1.804,0,1.804,1.836,1.836,1.836
144,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,13,Lower,NE,153,NA,NA,NA,0,8,2.312,2.026,1.991,0,1.991,2.004,2.004,2.004
145,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,13,Lower,NE,153,NA,NA,NA,0,9,1.851,1.62,1.524,0,1.524,1.524,1.524,1.524
146,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,13,Lower,NE,153,NA,NA,NA,0,10,2.283,2.017,1.98,0,1.98,1.98,1.98,1.98
147,Island,Santa_Rosa,Santa_Rosa,No,Ceanothus_megacarpus,13,Lower,NE,153,NA,NA,NA,0,11,2.265,2.067,2.025,0,2.025,2.084,2.084,2.084
