PlantID,SourcePop,SourceIM,Site,RT_8.506_alpha_phellandrene,RT_8.695_R_alpha_pinene,RT_9.152_camphene,RT_9.547_benzaldehyde,RT_9.993_sabinene,RT_10.056_beta_pinene,RT_10.245_3_octenol,RT_10.486_3_5_dimethyl_2_octanone,RT_10.611_beta_myrcene,RT_10.754_3_octanol,RT_10.997_alpha_phellandrene,RT_11.166_carene,RT_11.567_o_cymene,RT_11.641_beta_cymene,RT_11.773_d_limonene,RT_11.939_benzyl_alcohol,RT_12.133_trans_beta_ocimene,RT_12.242_alpha_tolualdehyde,RT_12.448_cis_beta_ocimene,RT_12.667_norpinene,RT_12.746_crithmene,RT_13.158_1_octanol,RT_14.056_linalool,RT_14.422_phenylethyl_alcohol,RT_14.96_allo_ocimene,RT_15.864_internal_standard_tetralin,RT_16.076_unknown_compound,RT_17.317_2_6_Dimethyl_3_5_7_octatriene_2_ol,RT_18.256_beta_citral,RT_18.645_trans_geraniol,RT_19.097_alpha_citral,RT_19.137_1_undecanol,RT_19.217_1_methyl_2_methylene_3_5_divinylcyclohexane,RT_20.121_4_Hydroxy_2_methylacetophenone,RT_20.35_unknown compound,RT_20.579_methyl_geranate,RT_20.968_elixene,RT_21.323_4_methoxy_acetophenone,RT_21.472_eugenol,RT_22.004_alpha_cubebene,RT_22.25_beta_bourbonene,RT_22.433_beta_elemene,RT_22.897_methyl_9_dodecenoate,RT_23.148_beta_carophyllene,RT_23.24_unknown_compound,RT_23.394_unknown_sesquiterpene,RT_23.554_alpha_bergamotene,RT_23.64_caryophyllene_oxide,RT_23.732_beta_sesquiphellandrene,RT_24.018_alpha_caryophyllene,RT_24.064_E_beta_farnesene,RT_24.464_Z_7_Hexadecene,RT_24.716_germacrene_D,RT_25.014_alpha_farnesene,RT_25.105_elixene,RT_25.34_alpha_farnesene,RT_25.368_beta_bisabolene,RT_25.523_gamma_muurolene,RT_25.678_hedycaryol,RT_25.741_d_cadinene,RT_26.358_elemol,RT_26.667_cis_farnesol,RT_26.713_trans_nerolidol,RT_26.999_germacren_D_4_ol,RT_27.045_spathulenol,RT_27.789_alpha_fenchene,RT_30.33_isoaromadendre_epoxide,RT_30.747_isoaromadendre_epoxide,RT_30.839_alpha_bulnesene,RT_31.182_isoaromadendre_epoxide,RT_31.794_alpha_copaenol,RT_32.063_isoaromadendre_epoxide,RT_32.441_unknown_compound,RT_32.704_unknown_compound,RT_33.419_isoaromadendre_epoxide,RT_33.62_E_3_Tetradecene,RT_34.467_Pentadecanoic_acid,RT_37.843_methyl_linoleate,RT_38.141_phytol
GAV102,Gaviota,Mainland,SBBG,0,1297044,0,0,0,1840438,69793,0,79432,0,0,134531,0,0,165023,0,3386102,0,374047,0,59871,150303,0,91993,506503,327598,116686,56550,80214,161364,639712,0,4853198,189364,0,2759057,358495,51093,0,0,0,88099,0,0,214984,0,0,0,0,0,0,155028,0,56226,323058,102362,1983422,0,0,0,0,839727,0,0,103306,0,231989,10718973,0,1537243,21667946,0,65253,127709,138121,0,115140,861389,2768298
GAV106,Gaviota,Mainland,SBBG,0,1528737,0,53432,0,2392862,133264,0,0,0,0,0,0,0,57805,0,1592137,0,148232,0,0,0,155199,0,381567,373813,86498,0,0,0,0,0,1495490,79759,0,0,0,0,0,0,0,0,0,96253,97147,0,0,0,0,79915,0,0,213391,56220,0,76204,0,0,0,0,651182,57653,0,272003,0,76435,54431,1240622,0,0,467154,127150,55209,0,0,0,244433,1714017,3706171
GAV110,Gaviota,Mainland,SBBG,67053,500672,0,0,0,1426481,63472,0,340793,0,0,658691,0,52931,318812,57859,702757,0,63463,0,142959,0,0,0,102307,358993,0,0,0,0,0,0,0,0,0,0,97193,0,0,0,0,108656,0,145725,0,0,0,0,0,109808,0,0,555636,139046,328612,338171,0,0,233742,0,10262160,0,0,917527,0,0,0,0,0,0,608907,71111,134720,0,0,0,171139,1120291,1412621
SCI_ISL_15,Santa_Cruz,Island,SCI,0,55439,0,0,0,83274,0,0,0,114496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338976,0,0,0,0,0,0,0,0,0,0,224706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258597,463343
SCI_ISL_24,Santa_Cruz,Island,SCI,0,0,0,0,0,0,0,0,0,140882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119670,950184,1219595
SCI_ISL_29,Santa_Cruz,Island,SCI,0,84196,0,0,0,137751,0,0,0,66128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313144,0,0,156883,0,0,0,0,0,179250,0,1570604,0,0,0,0,0,0,152814,0,0,0,0,0,0,0,0,0,0,0,0,90615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70993,711358,1159950
SCI16,Santa_Cruz,Island,SBBG,0,0,0,0,0,0,0,0,0,2244687,0,0,0,0,0,0,0,50658,0,0,0,0,0,0,0,304973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174359,1540515,1422679
SCI29,Santa_Cruz,Island,SBBG,0,80949,0,0,0,129145,0,66434,0,512867,0,0,0,0,0,0,0,73352,0,0,0,0,0,90678,0,527002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86097,57760,0,83771,0,0,0,0,0,0,0,0,0,0,0,60039,0,0,0,0,0,0,0,0,183101,1907759,2380574
SCI40,Santa_Cruz,Island,SBBG,0,130085,0,0,0,196308,0,0,0,85513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201996,0,0,0,0,0,0,0,0,0,0,0,121977,0,0,0,0,0,0,0,0,0,0,0,232849,0,0,0,0,0,53545,0,0,106430,907913,1784553
SCI46,Santa_Cruz,Island,SBBG,0,0,0,0,0,64986,0,0,0,156957,0,0,0,0,0,0,0,74200,0,0,0,0,0,0,0,306677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183994,1493747,2322865
SCI56,Santa_Cruz,Island,SBBG,0,182645,0,0,0,288412,0,0,0,165651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247118,0,0,0,0,0,0,0,0,0,0,0,121013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83087,775631,1313133
SCI70,Santa_Cruz,Island,SBBG,0,58985,0,0,0,92521,0,0,0,154735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82713,640692,1293722
SCI82,Santa_Cruz,Island,SBBG,0,0,0,0,0,0,0,0,0,62138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146823,0,0,0,0,0,0,0,0,0,0,59691,0,0,0,0,0,0,52998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245769,389518
SCI89,Santa_Cruz,Island,SBBG,0,65521,0,0,0,75921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176705,0,0,0,0,0,0,0,0,0,0,261830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65830,758243,1234087
SCI94,Santa_Cruz,Island,SBBG,0,79525,0,0,0,220199,216386,134602,0,488999,0,0,0,0,0,0,0,92138,0,0,0,0,0,111887,0,964408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114355,0,170801,0,0,0,0,90353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459995,4254855,7304832
SCI98,Santa_Cruz,Island,SBBG,0,63852,0,0,0,89287,0,0,0,100572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334215,0,0,0,0,0,0,0,0,0,0,376453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79951,0,0,0,0,0,78061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414325,658376
SCI105,Santa_Cruz,Island,SBBG,0,217483,0,0,0,680215,0,66373,0,269569,0,0,0,0,0,80473,0,0,0,0,0,0,0,77817,0,450749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497577,0,0,0,0,0,0,0,0,110943,90777,0,63952,0,0,0,0,0,0,0,0,0,0,0,57191,0,0,0,0,0,0,0,0,58031,260122,330822
SMM26,Santa_Monica_Mtns,Mainland,SBBG,0,1239742,0,0,0,1873680,91536,0,0,61626,0,0,0,0,74259,211388,1260052,0,127558,0,0,55668,511780,117945,282266,315469,239276,149639,105617,1036258,854931,0,12670958,0,0,2841117,157739,598584,0,0,0,219668,0,169999,345656,0,0,198708,0,138865,0,0,560217,452360,316870,1091773,0,0,223200,0,9622447,238665,0,957470,0,0,124648,0,0,515618,6799289,184114,210747,0,477124,0,74190,392699,852822
SMM53,Santa_Monica_Mtns,Mainland,SBBG,0,460114,0,0,0,692941,76846,0,0,0,0,0,0,0,0,85603,925911,0,78907,0,0,0,111790,51350,141487,302336,127400,68336,0,75306,156730,0,4713638,0,0,867466,0,160113,0,0,0,77722,0,67866,148794,0,0,78879,0,111732,0,0,193927,155676,105025,324081,0,0,67756,0,2220947,125613,0,302568,0,0,187325,940936,0,372286,5688991,61072,109615,0,113127,0,96947,917726,1661935
SMM79,Santa_Monica_Mtns,Mainland,SBBG,0,1118762,0,0,0,1827158,0,0,0,51868,0,0,0,0,70081,67315,1680979,75743,175652,0,0,78385,741213,63357,296779,368823,268274,210954,130707,2952553,1439531,0,17536270,0,0,709886,308119,339021,0,64585,55932,304585,0,276518,323337,78389,0,102817,0,144964,0,0,2691583,376734,996182,669224,0,57517,306528,56639,11246910,77246,0,1260934,0,0,685769,0,16516594,221229,2611464,81670,233398,70811,209682,0,267964,1829473,3697538
SMM108,Santa_Monica_Mtns,Mainland,SBBG,0,1104813,0,0,0,1650539,65222,63457,0,52743,0,0,0,0,55775,408642,185647,0,0,0,0,62495,326666,66311,0,193585,60129,0,202970,77365,178662,0,2766027,0,252546,1754621,922459,414155,0,0,0,79583,0,105578,458317,0,0,133457,0,120438,0,0,207739,147144,82439,407515,0,246419,1195946,0,4734652,584321,0,157987,0,0,4701250,0,17039711,495089,6239123,188333,1245059,0,513970,0,0,65385,458435
SRI12,Santa_Rosa,Island,SBBG,0,0,0,0,0,0,0,0,0,59441,0,0,0,0,0,0,0,52623,0,0,0,0,0,0,0,325312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108989,959056,2437497
SRI52,Santa_Rosa,Island,SBBG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346211,384316
SRI78,Santa_Rosa,Island,SBBG,0,0,0,0,0,0,52055,61301,0,213568,0,0,0,0,0,51721,0,59788,0,0,0,0,0,0,0,374172,0,0,0,0,0,0,0,0,0,0,0,0,71393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRI80,Santa_Rosa,Island,SBBG,0,0,0,0,0,0,0,0,0,95905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86126,0,0
SRI91,Santa_Rosa,Island,SBBG,0,0,0,0,0,0,0,0,0,56061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179865,0,0,0,0,0,0,0,0,0,0,133088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57093,0,0
SRI101,Santa_Rosa,Island,SBBG,0,0,0,0,0,57808,0,0,0,267190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52769,0,0,0,0,64205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116552,0,0
SRI107,Santa_Rosa,Island,SBBG,0,0,0,0,0,0,0,0,0,84408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94327,0,0
ZUM104,Zuma,Mainland,SBBG,266880,837347,0,0,106660,1641857,0,0,942098,51097,298323,2616720,209988,486707,1026559,104149,341593,77584,0,62491,249924,0,429715,76430,55584,335439,83645,0,224887,1117197,1267010,0,10520674,0,0,1089175,1201729,156783,0,0,0,158350,0,0,405810,0,0,0,0,0,99220,60127,0,467941,3667579,915160,0,0,173582,0,6971511,186440,0,347621,0,0,0,0,31418560,0,247350,0,84289,0,0,0,128995,948045,1142887
ZUM7,Zuma,Mainland,SBBG,337149,1950726,0,0,124689,2775270,161861,0,829370,68071,0,1922443,87552,224868,1030754,64685,1189945,66086,132299,113658,448932,0,132720,76708,188024,344499,53553,0,0,0,102328,0,6448752,0,0,279945,150961,109236,0,0,0,182998,0,161552,243130,0,0,76679,0,125359,0,0,418212,416451,437248,1025901,0,0,104758,0,4061823,136305,0,521796,0,65122,0,0,2065754,2090965,29419529,266339,290198,184135,422488,0,185674,874664,3205869
ZUM69,Zuma,Mainland,SBBG,0,832534,0,0,0,555124,310759,0,0,0,0,0,0,0,58224,62165,3761504,0,608144,0,0,0,63242,54925,319403,430459,0,0,0,0,0,0,4748181,0,0,0,370223,0,0,111268,0,293069,0,162030,0,81577,0,0,0,0,0,0,3419075,292187,1080874,564398,0,0,0,0,1460828,417359,0,69955,0,0,0,0,1202693,380565,5385450,0,0,77164,0,0,226707,2025347,2970035
ZUM77,Zuma,Mainland,SBBG,260692,120219,0,0,132952,113608,53191,50093,1311919,94534,151167,2830407,123458,236981,1163939,78951,1734586,77209,175607,155203,544760,0,793190,51396,271668,575759,113418,71644,0,0,148315,0,5696352,135133,0,0,0,0,0,0,0,109015,0,75131,110555,0,0,0,0,0,121810,0,1336686,574263,0,995540,0,0,181151,0,7085607,0,0,143348,0,0,604917,0,4124870,87398,964658,0,89442,0,126611,0,136262,1235507,2239755
ZUM88,Zuma,Mainland,SBBG,515912,321969,0,70180,173278,240959,65542,0,1442337,77781,0,3243990,170444,307072,1432429,179825,3224566,82768,326260,171205,605995,0,1016574,115365,521375,377294,269256,111587,0,0,355853,0,3878145,259517,0,0,0,483503,51584,0,0,132694,0,60149,234448,0,0,0,0,0,135958,0,932945,469069,0,717669,0,0,198689,0,7325911,124656,0,99212,0,0,927981,0,9677273,163490,1328014,0,447411,0,456188,0,148155,1089169,1556414
